species_en,species_scientific,species_de
Tawny Pipit,Anthus campestris,Brachpieper
Red-throated Pipit,Anthus cervinus,Rotkehlpieper
Pampas Pipit,Anthus chacoensis,Chacopieper
African Pipit,Anthus cinnamomeus,Zimtspornpieper
Correndera Pipit,Anthus correndera,Correnderapieper
Yellow-tufted Pipit,Anthus crenatus,Klippenpieper
Short-billed Pipit,Anthus furcatus,Weißbauchpieper
Blyth's Pipit,Anthus godlewskii,Steppenpieper
Pechora Pipit,Anthus gustavi,Petschorapieper
Hellmayr's Pipit,Anthus hellmayri,Hellmayrpieper
Olive-backed Pipit,Anthus hodgsoni,Waldpieper
Plain-backed Pipit,Anthus leucophrys,Braunrückenpieper
Striped Pipit,Anthus lineiventris,Streifenpieper
Yellowish Pipit,Anthus lutescens,Savannenpieper
Ochre-breasted Pipit,Anthus nattereri,Ockerbrustpieper
Australasian Pipit,Anthus novaeseelandiae,Neuseeland-Spornpieper
Peruvian Pipit,Anthus peruvianus,Perupieper
Rock Pipit,Anthus petrosus,Strandpieper
Meadow Pipit,Anthus pratensis,Wiesenpieper
Richard's Pipit,Anthus richardi,Spornpieper
Rosy Pipit,Anthus roseatus,Rosenpieper
American Pipit,Anthus rubescens,Pazifikpieper
Paddyfield Pipit,Anthus rufulus,Orientspornpieper
Long-billed Pipit,Anthus similis,Langschnabelpieper
Water Pipit,Anthus spinoletta,Bergpieper
Sprague's Pipit,Anthus spragueii,Präriepieper
Upland Pipit,Anthus sylvanus,Mattenpieper
Tree Pipit,Anthus trivialis,Baumpieper
Sarus Crane,Antigone antigone,Saruskranich
Sandhill Crane,Antigone canadensis,Kanadakranich
Brolga,Antigone rubicunda,Brolgakranich
White-naped Crane,Antigone vipio,Weißnackenkranich
Araripe Manakin,Antilophia bokermanni,Weißbauchpipra
Helmeted Manakin,Antilophia galeata,Schwarzbauchpipra
Mexican Whip-poor-will,Antrostomus arizonae,Mexikonachtschwalbe
Yucatan Nightjar,Antrostomus badius,Belizenachtschwalbe
Chuck-will's-widow,Antrostomus carolinensis,Carolinanachtschwalbe
Puerto Rican Nightjar,Antrostomus noctitherus,Puerto-Rico-Nachtschwalbe
Buff-collared Nightjar,Antrostomus ridgwayi,Braunhals-Nachtschwalbe
Rufous Nightjar,Antrostomus rufus,Rostnachtschwalbe
Tawny-collared Nightjar,Antrostomus salvini,Salvinnachtschwalbe
Dusky Nightjar,Antrostomus saturatus,Bergnachtschwalbe
